ra,dec,source_id
201.365,-43.019,NGC 5128
186.55,12.95,MESSIER 086
184.741,47.303,MESSIER 106
202.468,47.198,MESSIER 051
148.963,69.679,MESSIER 082
67.704,64.848,NGC 1569
192.146,-5.789,NGC 4697
11.888,-25.288,NGC 0253
157.183,68.469,IC 2574
35.639,42.349,NGC 0891
49.328,-41.106,NGC 1291:[LFF2012] 084
190.53,32.542,NGC 4631
192.721,41.12,MESSIER 094
196.365,-49.468,NGC 4945
17.362000000000002,35.718,NGC 0404
172.005,78.993,UGC 06456
267.365,70.145,NGC 6503
186.454,33.547,NGC 4395
210.794,54.36,MESSIER 101
184.375,37.809,NGC 4244
181.763,43.065,NGC 4111
187.63,41.65,NGC 4485
189.995,-11.624,MESSIER 104
161.958,12.582,MESSIER 105
114.216,65.6,NGC 2403
167.88,55.674,MESSIER 108
188.967,27.934,NGC 4559
183.911,36.328,NGC 4214
187.05,44.095,NGC 4449
204.983,-31.64,NGC 5253
170.06799999999998,13.589,NGC 3628
151.308,-7.718999999999999,NGC 3115
24.174,15.783,MESSIER 074
129.063,-26.409,ESO 495- G 021
150.838,68.734,NGC 3077
180.79,44.531000000000006,NGC 4051
198.955,42.029,MESSIER 063
339.267,34.416,NGC 7331
3.785,-39.22,NGC 0055
296.23400000000004,-14.800999999999998,NGC 6822
161.924,13.983,NGC 3377
200.487,-36.63,NGC 5102
49.633,-66.51899999999999,NGC 1313
192.611,25.502,NGC 4725
76.926,-37.513000000000005,NGC 1808
188.513,7.7,NGC 4526
73.557,-53.361,NGC 1705
202.413,58.417,NGC 5204
55.044,-35.626999999999995,NGC 1427A
189.086,25.988000000000003,NGC 4565
5.121,59.281000000000006,IC 0010
359.457,-32.592,NGC 7793
187.454,13.429,NGC 4473
139.829,69.203,NGC 2787
3.517,-23.182,NGC 0045
40.1,39.063,NGC 1023
23.778,-41.437,NGC 0625
39.148,59.655,Maffei 1
16.226,2.133,IC 1613
189.208,13.163,MESSIER 090
160.99200000000002,11.704,MESSIER 095
148.888,69.065,MESSIER 081
140.511,50.976000000000006,NGC 2841
185.728,15.822,MESSIER 100
179.484,55.45399999999999,NGC 3998
179.855,50.962,NGC 4026
324.119,-54.557,NGC 7090
40.48,59.604,Maffei 2
169.56900000000002,-32.814,NGC 3621
141.548,-76.626,NGC 2915
125.983,71.029,MESSIER 081 DWARF A
151.377,70.36399999999999,UGC 05423
196.604,67.707,UGC 08201
128.53,66.182,UGC 04459
145.135,71.182,Holmberg I
149.38299999999998,69.046,Holmberg IX
184.174,69.469,NGC 4236
194.18400000000003,21.685,MESSIER 064
211.257,53.662,NGC 5474
2.485,-24.963,NGC 0024
170.062,12.989,MESSIER 066
190.47,41.274,NGC 4625
33.515,27.877,NGC 0855
154.97799999999998,45.55,NGC 3198
166.454,-0.036,NGC 3521
277.159,-66.982,IC 4710
210.838,-41.379,NGC 5408
143.042,21.501,NGC 2903
0.779,16.105999999999998,NGC 7814
133.172,33.419000000000004,NGC 2683
162.071,12.63,NGC 3384
345.25,30.145,NGC 7457
13.713,-37.65,NGC 0300
194.748,34.907,NGC 4861
183.193,10.866,NGC 4178
204.253,-29.866,MESSIER 083
181.385,50.545,NGC 4088
152.753,-4.6930000000000005,Sextans A
186.71,9.584,NGC 4417
177.511,15.023,MRK 0750
25.757,13.64,NGC 0660
139.47,-22.355,NGC 2835
287.442,-63.858,NGC 6744
204.383,8.885,NGC 5248
160.88,24.922,NGC 3344
188.875,12.222,NGC 4550
188.908,12.264,NGC 4551
54.843,-35.645,NGC 1404
187.416,7.925,MESSIER 049
64.373,-62.784,NGC 1559
226.622,55.764,NGC 5866
41.735,-0.551,WISEA J024656.39-003305.0
184.707,14.417,MESSIER 099
187.19,44.864,NGC 4460
188.613,2.188,NGC 4536
185.427,14.598,NGC 4302
76.31,-37.981,NGC 1792
56.702,68.096,IC342
158.702,21.662,NGC 3287
161.691,11.82,MESSIER 096
